Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
aura-pro-headphones,Aura Pro Spatial ANC Headphones,"The Aura Pro redefines wireless acoustic luxury. Featuring custom-tuned 40mm Beryllium acoustic transducers, the Aura Pro delivers deep, punchy sub-bass alongside crystalline high frequencies. Its quad-microphone beamforming array cancels unwanted ambient frequencies up to 48dB while maintaining pristine transparency when needed.",Aura Labs,Audio & Acoustics,"audio,aura-labs",TRUE,Edition,Standard Fit,aura-pro-headphones-standard-fit,shopify,18,deny,manual,399,479,TRUE,TRUE,active
aura-pro-headphones,,,,,,,Edition,Pro Studio Edition,aura-pro-headphones-pro-studio-edition,shopify,18,deny,manual,399,479,TRUE,TRUE,
aura-pro-headphones,,,,,,,Edition,Memory Foam Max,aura-pro-headphones-memory-foam-max,shopify,18,deny,manual,399,479,TRUE,TRUE,
apex-chrono-smartwatch,Apex Chrono Ultra Titanium,"Built like a hypercar for your wrist. The Apex Chrono Ultra combines grade 5 aerospace titanium, dual-band satellite positioning, and a military-grade sapphire crystal screen capable of hitting 2000 nits in direct sunlight. Includes live bio-telemetry, optical ECG sensors, and titanium link strap.",Apex Titanium,Wearable Tech,"wearables,apex-titanium",TRUE,Edition,41mm Slim,apex-chrono-smartwatch-41mm-slim,shopify,12,deny,manual,649,729,TRUE,TRUE,active
apex-chrono-smartwatch,,,,,,,Edition,45mm Standard,apex-chrono-smartwatch-45mm-standard,shopify,12,deny,manual,649,729,TRUE,TRUE,
apex-chrono-smartwatch,,,,,,,Edition,49mm Ultra Summit,apex-chrono-smartwatch-49mm-ultra-summit,shopify,12,deny,manual,649,729,TRUE,TRUE,
vortex-cyberphone-pro,Vortex CyberPhone Fold Pro,"Designed for the next decade of mobile computing. The Vortex CyberPhone Pro features an ultra-thin 4.8mm titanium unibody, a 6.8-inch Dynamic AMOLED 165Hz display, and a sapphire-covered periscope triple-camera system with mechanical optical zoom.",Vortex Dynamics,Smartphones & Fold,"smartphones,vortex-dynamics",TRUE,Edition,256GB Storage,vortex-cyberphone-pro-256gb-storage,shopify,9,deny,manual,1199,1399,TRUE,TRUE,active
vortex-cyberphone-pro,,,,,,,Edition,512GB Storage,vortex-cyberphone-pro-512gb-storage,shopify,9,deny,manual,1199,1399,TRUE,TRUE,
vortex-cyberphone-pro,,,,,,,Edition,1TB Ultra Edition,vortex-cyberphone-pro-1tb-ultra-edition,shopify,9,deny,manual,1199,1399,TRUE,TRUE,
mechstrike-artisan-keyboard,MechStrike X Pro Keyboard,"The ultimate typing and gaming weapon. Built with a solid CNC milled aluminum case, brass weight plate, double-shot PBT artisan keycaps, and customizable magnetic switches with 0.1mm adjustable actuation sensitivity.",MechStrike Pro,Gaming Gear,"gaming,mechstrike",TRUE,Edition,65% Compact,mechstrike-artisan-keyboard-65-compact,shopify,25,deny,manual,249,289,TRUE,TRUE,active
mechstrike-artisan-keyboard,,,,,,,Edition,75% Essential,mechstrike-artisan-keyboard-75-essential,shopify,25,deny,manual,249,289,TRUE,TRUE,
mechstrike-artisan-keyboard,,,,,,,Edition,TKL Tournament,mechstrike-artisan-keyboard-tkl-tournament,shopify,25,deny,manual,249,289,TRUE,TRUE,
aeroglide-hover-drone,AeroGlide 4K Apex Drone,"Designed for aerial filmmakers and tech enthusiasts. The AeroGlide 4K incorporates carbon fiber composite arms, omnidirectional LiDAR obstacle avoidance sensors, and a stabilized 3-axis mechanical gimbal camera.",AeroTech Robotics,Drones & Robotics,"drones,aerotech",TRUE,Edition,Single Battery Pack,aeroglide-hover-drone-single-battery-pack,shopify,7,deny,manual,899,999,TRUE,TRUE,active
aeroglide-hover-drone,,,,,,,Edition,Fly More Creator Combo,aeroglide-hover-drone-fly-more-creator-combo,shopify,7,deny,manual,899,999,TRUE,TRUE,
aeroglide-hover-drone,,,,,,,Edition,Cinema Master Bundle,aeroglide-hover-drone-cinema-master-bundle,shopify,7,deny,manual,899,999,TRUE,TRUE,
viper-zero-mouse,Viper Zero Wireless Mouse,"Engineered for tournament champions where milliseconds decide victory. Featuring an ultra-lightweight skeletal composite chassis, zero-latency 8000Hz wireless polling, and optical switches rated for 100 million clicks.",Viper Esports,Gaming Gear,"gaming,viper-esports",TRUE,Edition,Medium Ergonomic,viper-zero-mouse-medium-ergonomic,shopify,34,deny,manual,159,189,TRUE,TRUE,active
viper-zero-mouse,,,,,,,Edition,Small Claw Grip,viper-zero-mouse-small-claw-grip,shopify,34,deny,manual,159,189,TRUE,TRUE,
viper-zero-mouse,,,,,,,Edition,Large Palm Grip,viper-zero-mouse-large-palm-grip,shopify,34,deny,manual,159,189,TRUE,TRUE,
pulse-spatial-speaker,Pulse 360 Spatial Sound Sphere,"Transform any living space into a live amphitheater. The Pulse 360 features spatial acoustic array projection, twin opposed passive bass radiators, and an interactive LED illumination core that synchronizes with acoustic rhythms.",Aura Labs,Audio & Acoustics,"audio,aura-labs",TRUE,Edition,Compact Room Edition,pulse-spatial-speaker-compact-room-edition,shopify,15,deny,manual,329,389,TRUE,TRUE,active
pulse-spatial-speaker,,,,,,,Edition,Max Amphitheater Edition,pulse-spatial-speaker-max-amphitheater-edition,shopify,15,deny,manual,329,389,TRUE,TRUE,
nova-ar-smart-glasses,Nova AR Holographic Glasses,The portal to spatial reality in a sleek designer form factor. The Nova AR glasses project a virtual 200-inch cinema display directly into your field of view using binocular Micro-OLED waveguide optics while weighing only 64 grams.,Aura Labs,AR & Spatial Optics,"optics,aura-labs",TRUE,Edition,Standard Bridge (52-18),nova-ar-smart-glasses-standard-bridge-52-18-,shopify,11,deny,manual,699,799,TRUE,TRUE,active
nova-ar-smart-glasses,,,,,,,Edition,Wide Bridge (56-20),nova-ar-smart-glasses-wide-bridge-56-20-,shopify,11,deny,manual,699,799,TRUE,TRUE,
